question_id,category,question
Q-264,caiq|sef,Is a structured approach followed to evaluate the effectiveness of incident response plans at planned intervals or upon significant changes?
Q-265,caiq|sef,"Are information security incident metrics established, monitored and reported?"
Q-266,caiq|sef,"Are processes, procedures, and technical measures supporting business processes
to triage security-related events defined, implemented, and evaluated?"
Q-267,caiq|sef,"Are processes, procedures, and technical measures defined, implemented, and evaluated for 
timely and effective response to security incidents in accordance with incident categories and severity levels?"
Q-268,caiq|sef,"Are these processes and procedures reviewed, updated, and tested at least annually?"
Q-269,caiq|sef,"Are processes, procedures, and technical measures for security breach notifications
defined and implemented?"
Q-270,caiq|sef,"Are material security breaches reported (including any relevant supply chain breaches) 
as per applicable SLAs, laws, and regulations?"
Q-271,caiq|sef,Is a secure repository of security incident records established and maintained?
Q-272,caiq|sef,"Are incident records regularly reviewed to identify patterns, root causes, and systemic 
vulnerabilities, and are relevant corrective measures implemented?"
Q-273,caiq|sef,"Are points of contact maintained for applicable regulation authorities, national
and local law enforcement, and other legal jurisdictional authorities?"
Q-274,caiq|sef,Are points of contact reviewed and updated at least annually?
Q-275,caiq|sta,"Are policies and procedures for supply chain risk management established, documented, approved, 
communicated, applied, evaluated, and maintained?"
Q-276,caiq|sta,"Are policies and procedures for supply chain risk management reviewed and updated 
at least annually, or upon significant changes?"
Q-277,caiq|sta,"Are policies and procedures implementing the shared security responsibility
model (SSRM) within the organization established, documented, approved, communicated,
applied, evaluated, and maintained?"
Q-278,caiq|sta,"Are the policies and procedures that apply the SSRM reviewed and updated annually, or upon significant changes?"
Q-279,caiq|sta,"Is the SSRM applied, documented, implemented, and managed throughout the supply
chain?"
Q-280,caiq|sta,"Is the service customer given SSRM guidance detailing information about SSRM applicability
throughout the supply chain?"
Q-281,caiq|sta,"Is the shared ownership and applicability of all CSA CCM controls delineated
according to the SSRM?"
Q-282,caiq|sta,Is the SSRM documentation reviewed and validated?
Q-283,caiq|sta,"Are the portions of the SSRM the organization is responsible for implemented,
operated, audited, or assessed?"
Q-284,caiq|sta,Is an inventory of all supply chain relationships developed and maintained?
Q-285,caiq|sta,"Is a process defined, implemented, and enforced for establishing a Bill of Material 
for the service supply chain?"
Q-286,caiq|sta,Is the Bill of Material reviewed and updated at least annually or upon significant changes?
Q-287,caiq|sta,Are risk factors associated with supply chain relationships periodically reviewed?
Q-288,caiq|sta,"Do service agreements between service providers and service customers (tenants) incorporate at least the following mutually agreed upon provisions and/or terms?
• Scope, characteristics, and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third-party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
• Operational Resilience"
Q-289,caiq|sta,Are supply chain agreements reviewed at least annually or upon significant changes?
Q-290,caiq|sta,"Is there a process for conducting internal assessments at least annually to
confirm the conformance and effectiveness of standards, policies, procedures,
and SLA activities?"
Q-291,caiq|sta,"Are policies that require all supply chain service providers to comply with information
security, confidentiality, access control, privacy, audit, personnel policy, and
service level requirements and standards implemented?"
Q-292,caiq|sta,"Are the organization's service providers' IT governance policies and procedures reviewed 
at least annually or upon significant changes?"
Q-293,caiq|sta,Is a process defined and implemented for conducting risk-based security assessments of the supply chain?
Q-294,caiq|tvm,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained to identify, report, and prioritize the remediation
of vulnerabilities and threats to protect systems against vulnerability exploitation?"
Q-295,caiq|tvm,"Are threat and vulnerability management policies and procedures reviewed and
updated at least annually, or upon significant changes?"
Q-296,caiq|tvm,"Are policies and procedures to protect against malware and malicious instructions 
established, documented, approved, communicated, applied, evaluated, and maintained?"
Q-297,caiq|tvm,"Are asset management and malware protection policies and procedures reviewed
and updated at least annually, or upon significant changes?"
Q-298,caiq|tvm,"Are processes, procedures, and technical measures defined, implemented, and evaluated for 
vulnerability detection on organizationally managed assets at least monthly?"
Q-299,caiq|tvm,"Are a threat analysis process and procedures defined, implemented, and evaluated to identify, 
assess, and review the threat landscape for cloud systems?"
Q-300,caiq|tvm,Are threat models built according to industry best practices to inform the risk mitigation strategy?
Q-301,caiq|tvm,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to update detection tools, threat signatures, and compromise indicators
weekly (or more frequent) basis?"
Q-302,caiq|tvm,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to identify updates for applications that use third-party or open-source
libraries (according to the organization's vulnerability management policy)?"
Q-303,caiq|tvm,"Are processes, procedures and technical measures defined, implemented and evaluated for 
the periodic performance of penetration testing by independent third parties?"
Q-304,caiq|tvm,"Are processes, procedures and technical measures defined, implemented and evaluated 
based on identified risks to support scheduled and emergency responses to vulnerability identification?"
Q-305,caiq|tvm,"Is vulnerability remediation prioritized using a risk-based method from an
industry-recognized framework?"
Q-306,caiq|tvm,"Is a risk-based method used for the prioritization and mitigation of threats, leveraging 
an industry-recognized framework to guide threat decision-making and protection measures?"
Q-307,caiq|tvm,"Is a process defined and implemented to track and report vulnerability identification
and remediation activities that include stakeholder notification?"
Q-308,caiq|tvm,"Are metrics for vulnerability identification and remediation established,
monitored, and reported at defined intervals?"
Q-309,caiq|uem,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for all endpoints?"
Q-310,caiq|uem,"Are universal endpoint management policies and procedures reviewed and updated
at least annually, or upon significant changes?"
Q-311,caiq|uem,"Is there a defined, documented, applicable and evaluated list containing approved
services, applications, and the sources of applications (stores) acceptable for
use by endpoints when accessing or storing organization-managed data?"
Q-312,caiq|uem,"Is a process defined and implemented to validate endpoint device compatibility
with operating systems and applications?"
Q-313,caiq|uem,"Is an inventory of all endpoints used and maintained to store, access and process company
data?"
Q-314,caiq|uem,"Are processes, procedures, and technical measures defined, implemented and
evaluated, to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data?"
Q-315,caiq|uem,"Are all relevant interactive-use endpoints configured to require an automatic
lock screen?"
Q-316,caiq|uem,"Are changes to endpoint operating systems, patch levels, and/or applications
managed through the organizational change management process?"
Q-317,caiq|uem,"Is information protected from unauthorized disclosure on managed endpoints
with storage encryption?"
Q-318,caiq|uem,"Are anti-malware detection and prevention technology services configured on
managed endpoints?"
Q-319,caiq|uem,Are software firewalls configured on managed endpoints?
Q-320,caiq|uem,"Are managed endpoints configured with data loss prevention (DLP) technologies
and rules per a risk assessment?"
Q-321,caiq|uem,"Are remote geo-location capabilities enabled for all managed mobile endpoints, 
in accordance with applicable laws and regulations?"
Q-322,caiq|uem,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable remote company data deletion on managed endpoint devices?"
Q-323,caiq|uem,"Are processes, procedures, and technical and/or contractual measures defined,
implemented, and evaluated to maintain proper security of third-party endpoints
with access to organizational assets?"
